ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_004596.3	ILMN_10495	SNRPA	1.18	0.24	1.08	0.11	1.01	0.02	1.32	0.40	Homo sapiens small nuclear ribonucleoprotein polypeptide A (SNRPA), mRNA.
NM_198700.1	ILMN_10496	CUGBP1	1.03	0.05	1.04	0.06	1.22	0.29	1.36	0.44	Homo sapiens CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 2, mRNA.
NM_001014839.1	ILMN_10498	NCDN	NaN	NaN	0.48	-1.07	0.78	-0.36	NaN	NaN	Homo sapiens neurochondrin (NCDN), transcript variant 1, mRNA.
AI205489	ILMN_104981		1.42	0.50	1.30	0.38	1.13	0.18	1.15	0.20	qr26b06.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:1941971 3, mRNA sequence
AI375192	ILMN_104988		1.39	0.47	1.20	0.26	0.88	-0.18	0.94	-0.10	tc10d09.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:2063441 3, mRNA sequence
NM_005335.3	ILMN_10504	HCLS1	1.91	0.94	1.68	0.75	1.25	0.33	1.18	0.24	Homo sapiens hematopoietic cell-specific Lyn substrate 1 (HCLS1), mRNA.
NM_052946.2	ILMN_10508	NOSTRIN	0.18	-2.49	0.12	-3.01	0.71	-0.49	0.65	-0.62	Homo sapiens nitric oxide synthase trafficker (NOSTRIN), mRNA.
NM_004298.2	ILMN_1051	NUP155	0.93	-0.11	0.94	-0.08	1.12	0.16	1.14	0.19	Homo sapiens nucleoporin 155kDa (NUP155), transcript variant 2, mRNA.
NM_006534.2	ILMN_10519	NCOA3	0.89	-0.17	0.84	-0.24	0.96	-0.06	0.91	-0.14	Homo sapiens nuclear receptor coactivator 3 (NCOA3), transcript variant 2, mRNA.
NM_003275.1	ILMN_1052	TMOD1	NaN	NaN	NaN	NaN	3.20	1.68	0.98	-0.02	Homo sapiens tropomodulin 1 (TMOD1), mRNA.
NM_003152.2	ILMN_10520	STAT5A	2.24	1.16	1.81	0.86	2.10	1.07	2.31	1.21	Homo sapiens signal transducer and activator of transcription 5A (STAT5A), mRNA.
DA811815	ILMN_105215		1.58	0.66	1.25	0.33	1.19	0.25	1.15	0.20	DA811815 OVARC1 Homo sapiens cDNA clone OVARC1000122 5, mRNA sequence
AW770193	ILMN_105227		1.62	0.70	1.57	0.65	1.08	0.11	1.06	0.08	hk59f09.x1 NCI_CGAP_Lym12 Homo sapiens cDNA clone IMAGE:3001001 3, mRNA sequence
NM_017410.2	ILMN_10524	HOXC13	1.67	0.74	1.51	0.60	1.01	0.01	1.11	0.15	Homo sapiens homeobox C13 (HOXC13), mRNA.
NM_005791.1	ILMN_10528	MPHOSPH10	1.24	0.32	1.12	0.16	0.98	-0.02	1.03	0.04	Homo sapiens M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein) (MPHOSPH10), mRNA.
NM_012091.2	ILMN_1053	ADAT1	0.77	-0.38	0.79	-0.34	0.77	-0.37	0.74	-0.43	Homo sapiens adenosine deaminase, tRNA-specific 1 (ADAT1), mRNA.
NM_007062.1	ILMN_10530	PWP1	1.34	0.42	1.13	0.17	1.14	0.19	1.11	0.15	Homo sapiens PWP1 homolog (S. cerevisiae) (PWP1), mRNA.
NM_012254.1	ILMN_10532	SLC27A5	0.38	-1.39	0.82	-0.28	0.41	-1.28	0.32	-1.65	Homo sapiens solute carrier family 27 (fatty acid transporter), member 5 (SLC27A5), mRNA.
BX104577	ILMN_105347		1.31	0.38	1.31	0.39	0.88	-0.18	0.88	-0.18	BX104577 Soares ovary tumor NbHOT Homo sapiens cDNA clone IMAGp998B161998, mRNA sequence
NM_020353.1	ILMN_10535	PLSCR4	0.46	-1.13	0.57	-0.82	0.26	-1.93	0.10	-3.31	Homo sapiens phospholipid scramblase 4 (PLSCR4), mRNA.
NM_014374.1	ILMN_1054	REPIN1	NaN	NaN	NaN	NaN	0.91	-0.14	0.94	-0.09	Homo sapiens replication initiator 1 (REPIN1), transcript variant 2, mRNA.
NM_022068.1	ILMN_10543	FAM38B	NaN	NaN	NaN	NaN	NaN	NaN	0.63	-0.67	Homo sapiens family with sequence similarity 38, member B (FAM38B), mRNA.
CA442514	ILMN_105445		1.77	0.83	1.38	0.46	1.05	0.07	0.91	-0.13	UI-H-DP0-ave-p-05-0-UI.s1 NCI_CGAP_Fs1 Homo sapiens cDNA clone UI-H-DP0-ave-p-05-0-UI 3, mRNA sequence
NM_020423.4	ILMN_10545	SCYL3	0.89	-0.16	1.13	0.18	0.95	-0.07	1.11	0.16	Homo sapiens SCY1-like 3 (S. cerevisiae) (SCYL3), transcript variant 1, mRNA.
NM_014571.2	ILMN_10547	HEYL	0.55	-0.87	0.71	-0.50	1.58	0.66	1.75	0.81	Homo sapiens hairy/enhancer-of-split related with YRPW motif-like (HEYL), mRNA.
NM_013338.3	ILMN_10548	ALG5	0.71	-0.50	0.72	-0.47	0.39	-1.35	0.44	-1.18	Homo sapiens asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase) (ALG5), mRNA.
AW182546	ILMN_105494		1.52	0.60	1.34	0.42	0.95	-0.07	0.99	-0.01	xj81h02.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2663667 3 similar to contains Alu repetitive element;, mRNA sequence
NM_018674.3	ILMN_10550	ACCN4	1.55	0.63	1.33	0.41	1.08	0.11	1.07	0.09	Homo sapiens amiloride-sensitive cation channel 4, pituitary (ACCN4), transcript variant 1, mRNA.
NM_018593.3	ILMN_10556	SLC16A10	3.48	1.80	2.88	1.53	2.87	1.52	3.94	1.98	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 10 (SLC16A10), mRNA.
NM_018056.1	ILMN_1056	TMEM39B	0.31	-1.68	0.47	-1.08	0.67	-0.59	0.52	-0.95	Homo sapiens transmembrane protein 39B (TMEM39B), mRNA.
NM_144653.3	ILMN_10561	BTBD14A	1.64	0.71	1.25	0.32	2.47	1.31	2.19	1.13	Homo sapiens BTB (POZ) domain containing 14A (BTBD14A), mRNA.
CB050664	ILMN_105622		1.57	0.65	1.25	0.32	1.12	0.16	1.11	0.15	NISC_gj18h12.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:3272303 3, mRNA sequence
NM_006350.2	ILMN_10565	FST	0.17	-2.56	0.09	-3.52	0.82	-0.29	0.67	-0.58	Homo sapiens follistatin (FST), transcript variant FST317, mRNA.
NM_021645.4	ILMN_10573	UTP14C	0.78	-0.35	0.69	-0.55	0.77	-0.37	0.77	-0.37	Homo sapiens UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast) (UTP14C), mRNA.
NM_001003892.1	ILMN_10577	DUPD1	1.15	0.20	1.52	0.60	4.13	2.04	4.83	2.27	Homo sapiens dual specificity phosphatase and pro isomerase domain containing 1 (DUPD1), mRNA.
BE440025	ILMN_105782		1.61	0.69	1.28	0.36	1.09	0.12	1.12	0.16	HTM1-793F HTM1 Homo sapiens cDNA, mRNA sequence
AW237874	ILMN_105905		1.71	0.78	1.21	0.27	1.08	0.12	1.17	0.22	xo92h01.x1 NCI_CGAP_HN8 Homo sapiens cDNA clone IMAGE:2738353 3, mRNA sequence
AA834787	ILMN_105934		1.46	0.55	NaN	NaN	NaN	NaN	NaN	NaN	oe01f05.s1 NCI_CGAP_Ov2 Homo sapiens cDNA clone IMAGE:1384641, mRNA sequence
NM_138412.2	ILMN_10594	RDH13	0.69	-0.53	0.84	-0.25	2.14	1.10	2.42	1.27	Homo sapiens retinol dehydrogenase 13 (all-trans and 9-cis) (RDH13), mRNA.
BM977008	ILMN_105956		NaN	NaN	NaN	NaN	0.92	-0.12	1.03	0.04	UI-CF-EN1-acz-c-09-0-UI.s1 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-acz-c-09-0-UI 3, mRNA sequence
NM_022090.3	ILMN_10601	LOC63920	NaN	NaN	0.45	-1.14	0.79	-0.33	0.83	-0.27	Homo sapiens transposon-derived Buster3 transposase-like (LOC63920), mRNA.
AW193623	ILMN_106022		1.54	0.63	1.21	0.28	1.21	0.28	1.15	0.20	xm18d10.x1 NCI_CGAP_Ut4 Homo sapiens cDNA clone IMAGE:2684563 3, mRNA sequence
NM_170726.1	ILMN_10603	ALDH4A1	0.34	-1.56	0.67	-0.58	0.84	-0.25	0.81	-0.31	Homo sapiens aldehyde dehydrogenase 4 family, member A1 (ALDH4A1), nuclear gene encoding mitochondrial protein, transcript variant P5CDhS, mRNA.
NM_018689.1	ILMN_10606	KIAA1199	9.75	3.28	9.13	3.19	6.25	2.64	5.30	2.41	Homo sapiens KIAA1199 (KIAA1199), mRNA.
AI873512	ILMN_106062		1.42	0.50	1.34	0.42	1.03	0.04	1.01	0.01	wf84b12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2362271 3, mRNA sequence
NM_000291.2	ILMN_10607	PGK1	1.06	0.09	0.93	-0.11	1.24	0.32	1.36	0.45	Homo sapiens phosphoglycerate kinase 1 (PGK1), mRNA.
NM_021073.2	ILMN_10608	BMP5	NaN	NaN	0.66	-0.59	1.46	0.54	0.65	-0.62	Homo sapiens bone morphogenetic protein 5 (BMP5), mRNA.
NM_025232.2	ILMN_1061	REEP4	NaN	NaN	NaN	NaN	0.77	-0.38	0.69	-0.53	Homo sapiens receptor accessory protein 4 (REEP4), mRNA.
BP431822	ILMN_106213		1.14	0.19	1.16	0.21	0.91	-0.14	0.95	-0.07	BP431822 leukemia cell normalized cDNA library Homo sapiens cDNA clone LEU1479_23_D11, mRNA sequence
AW079487	ILMN_106215		1.53	0.61	1.36	0.44	1.08	0.11	1.15	0.20	xc16h12.x1 NCI_CGAP_Co19 Homo sapiens cDNA clone IMAGE:2584487 3, mRNA sequence
BM986872	ILMN_106234		2.18	1.13	1.94	0.96	1.04	0.06	1.11	0.15	UI-H-CO0-aqj-a-11-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone IMAGE: 3104132 3, mRNA sequence
NM_014502.3	ILMN_10626	PRPF19	1.31	0.39	1.43	0.52	0.99	-0.01	0.95	-0.08	Homo sapiens PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae) (PRPF19), mRNA.
NM_000679.3	ILMN_10629	ADRA1B	NaN	NaN	NaN	NaN	1.10	0.13	NaN	NaN	Homo sapiens adrenergic, alpha-1B-, receptor (ADRA1B), mRNA.
AW085986	ILMN_106290		1.36	0.44	1.22	0.29	1.11	0.15	1.06	0.09	xc76e10.x1 NCI_CGAP_Ov32 Homo sapiens cDNA clone IMAGE:2590218 3, mRNA sequence
T10220	ILMN_106328		1.76	0.81	1.21	0.27	1.21	0.28	1.23	0.30	seq920 b4HB3MA Cot8-HAP-Ft Homo sapiens cDNA clone b4HB3MA-COT8-HAP-Ft196 3, mRNA sequence
NM_003153.3	ILMN_10634	STAT6	0.92	-0.13	0.68	-0.55	1.07	0.09	1.12	0.16	Homo sapiens signal transducer and activator of transcription 6, interleukin-4 induced (STAT6), mRNA.
NM_005713.1	ILMN_10635	COL4A3BP	0.88	-0.18	0.76	-0.40	1.02	0.03	1.07	0.10	Homo sapiens collagen, type IV, alpha 3 (Goodpasture antigen) binding protein (COL4A3BP), transcript variant 1, mRNA.
AW516786	ILMN_106355		1.58	0.66	1.25	0.32	1.08	0.10	1.08	0.11	xq04b10.x1 Soares_NHCeC_cervical_tumor Homo sapiens cDNA clone IMAGE:2748859 3, mRNA sequence
XM_372521.1	ILMN_1064	LOC390466	1.05	0.07	0.95	-0.08	0.96	-0.06	0.94	-0.09	PREDICTED: Homo sapiens similar to SMT3 suppressor of mif two 3 homolog 2 (LOC390466), mRNA.
NM_001007189.1	ILMN_10640	LOC492311	NaN	NaN	NaN	NaN	0.84	-0.25	1.00	0.00	Homo sapiens similar to bovine IgA regulatory protein (LOC492311), mRNA.
AW628732	ILMN_106494		1.48	0.56	1.43	0.52	1.06	0.08	1.10	0.14	hi43c03.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2975044 3, mRNA sequence
NM_031901.3	ILMN_10651	MRPS21	NaN	NaN	NaN	NaN	NaN	NaN	1.01	0.01	Homo sapiens mitochondrial ribosomal protein S21 (MRPS21), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
CA392006	ILMN_106552		1.50	0.59	1.33	0.41	1.10	0.14	1.06	0.08	cs21a12.x1 Human Retinal pigment epithelium/choroid cDNA (Un-normalized, unamplified): cs Homo sapiens cDNA clone cs21a12 3, mRNA sequence
AA178983	ILMN_106653		1.46	0.55	1.30	0.38	0.98	-0.03	1.18	0.23	zp12g05.s1 Stratagene fetal retina 937202 Homo sapiens cDNA clone IMAGE:609272 3, mRNA sequence
AW183894	ILMN_106679		0.85	-0.23	1.07	0.09	0.76	-0.39	1.11	0.14	xj89b12.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2664383 3, mRNA sequence
AW769501	ILMN_106684		1.68	0.75	1.51	0.60	0.99	-0.02	0.92	-0.12	hl74a09.x1 NCI_CGAP_Kid13 Homo sapiens cDNA clone IMAGE:3006904 3, mRNA sequence
NM_005077.3	ILMN_10669	TLE1	0.25	-2.00	0.31	-1.70	0.42	-1.24	0.20	-2.31	Homo sapiens transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila) (TLE1), mRNA.
NM_005198.3	ILMN_1067	CHKB	NaN	NaN	0.80	-0.32	1.05	0.07	1.15	0.20	Homo sapiens choline kinase beta (CHKB), transcript variant 1, mRNA.
AW572919	ILMN_106715		1.39	0.47	1.43	0.51	0.97	-0.04	0.88	-0.19	hf17e07.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2932164 3, mRNA sequence
AW081577	ILMN_106734		1.47	0.55	1.32	0.40	1.05	0.07	1.00	0.00	xc23f04.x1 NCI_CGAP_Co19 Homo sapiens cDNA clone IMAGE:2585119 3, mRNA sequence
NM_002151.1	ILMN_10677	HPN	0.48	-1.05	0.64	-0.64	0.57	-0.80	0.56	-0.83	Homo sapiens hepsin (transmembrane protease, serine 1) (HPN), transcript variant 2, mRNA.
NM_018091.3	ILMN_1068	ELP3	1.06	0.08	1.13	0.18	1.32	0.40	1.19	0.25	Homo sapiens elongation protein 3 homolog (S. cerevisiae) (ELP3), mRNA.
NM_031445.2	ILMN_10683	MGC4268	1.49	0.57	1.22	0.28	1.22	0.29	1.34	0.42	Homo sapiens hypothetical protein MGC4268 (MGC4268), mRNA.
NM_014037.2	ILMN_10688	SLC6A16	NaN	NaN	NaN	NaN	0.48	-1.05	NaN	NaN	Homo sapiens solute carrier family 6, member 16 (SLC6A16), mRNA.
NM_001017969.1	ILMN_10689	KIAA2026	1.78	0.83	1.36	0.45	0.72	-0.48	0.78	-0.36	Homo sapiens KIAA2026 (KIAA2026), mRNA.
NM_001018053.1	ILMN_10692	PFKFB2	1.01	0.01	0.90	-0.14	1.35	0.44	2.04	1.03	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 (PFKFB2), transcript variant 2, mRNA.
NM_138801.1	ILMN_10698	GALM	0.31	-1.68	0.78	-0.36	NaN	NaN	0.79	-0.33	Homo sapiens galactose mutarotase (aldose 1-epimerase) (GALM), mRNA.
NM_031482.3	ILMN_1070	ATG10	0.99	-0.02	1.08	0.11	0.92	-0.12	1.16	0.21	Homo sapiens ATG10 autophagy related 10 homolog (S. cerevisiae) (ATG10), mRNA.
NM_004504.3	ILMN_10703	HRB	1.01	0.01	1.01	0.01	1.03	0.05	1.03	0.04	Homo sapiens HIV-1 Rev binding protein (HRB), mRNA.
NM_014801.2	ILMN_10704	PCNXL2	NaN	NaN	NaN	NaN	1.20	0.27	NaN	NaN	Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 1, mRNA.
NM_006014.2	ILMN_1071	DXS9879E	0.49	-1.04	0.51	-0.96	0.81	-0.31	0.84	-0.25	Homo sapiens DNA segment on chromosome X (unique) 9879 expressed sequence (DXS9879E), mRNA.
NM_017415.1	ILMN_10714	KLHL3	NaN	NaN	NaN	NaN	2.11	1.08	2.49	1.32	Homo sapiens kelch-like 3 (Drosophila) (KLHL3), mRNA.
NM_018467.2	ILMN_10716	MDS032	0.96	-0.06	0.73	-0.46	0.61	-0.70	0.61	-0.72	Homo sapiens uncharacterized hematopoietic stem/progenitor cells protein MDS032 (MDS032), mRNA.
NM_007215.2	ILMN_10717	POLG2	NaN	NaN	NaN	NaN	1.09	0.12	1.02	0.03	Homo sapiens polymerase (DNA directed), gamma 2, accessory subunit (POLG2), mRNA.
NM_001416.1	ILMN_10718	EIF4A1	1.52	0.60	1.35	0.43	1.11	0.16	1.14	0.19	Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA.
AW206504	ILMN_107186		NaN	NaN	NaN	NaN	1.04	0.06	NaN	NaN	UI-H-BI1-aez-d-03-0-UI.s1 NCI_CGAP_Sub3 Homo sapiens cDNA clone IMAGE:2721053 3, mRNA sequence
NM_000687.1	ILMN_10724	AHCY	0.60	-0.74	0.70	-0.52	1.00	0.00	1.07	0.09	Homo sapiens S-adenosylhomocysteine hydrolase (AHCY), mRNA.
NM_001440.2	ILMN_10725	EXTL3	0.81	-0.31	0.51	-0.97	0.89	-0.17	0.93	-0.10	Homo sapiens exostoses (multiple)-like 3 (EXTL3), mRNA.
N21665	ILMN_107343		1.33	0.41	1.22	0.28	0.88	-0.19	0.90	-0.15	yx63d04.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:266407 3, mRNA sequence
AI827529	ILMN_107359		1.30	0.38	1.27	0.35	1.04	0.05	0.97	-0.05	wf10a02.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2350154 3, mRNA sequence
BQ028404	ILMN_107360		1.41	0.49	0.84	-0.25	NaN	NaN	NaN	NaN	UI-H-CO0-aqy-h-07-0-UI.s1 NCI_CGAP_Sub9 Homo sapiens cDNA clone IMAGE:3105995 3, mRNA sequence
NM_005622.3	ILMN_10738	ACSM3	0.29	-1.79	0.80	-0.32	0.40	-1.32	0.50	-1.01	Homo sapiens acyl-CoA synthetase medium-chain family member 3 (ACSM3), transcript variant 1, mRNA.
NM_006092.1	ILMN_10741	CARD4	NaN	NaN	NaN	NaN	1.35	0.44	1.78	0.83	Homo sapiens caspase recruitment domain family, member 4 (CARD4), mRNA.
NM_000543.3	ILMN_10742	SMPD1	0.64	-0.65	0.87	-0.20	0.76	-0.40	0.93	-0.10	Homo sapiens sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase) (SMPD1), transcript variant 1, mRNA.
NM_005147.3	ILMN_10747	DNAJA3	0.95	-0.07	0.95	-0.07	1.21	0.27	1.35	0.43	Homo sapiens DnaJ (Hsp40) homolog, subfamily A, member 3 (DNAJA3), mRNA.
NM_052837.1	ILMN_10752	SCAMP3	1.61	0.69	1.53	0.61	0.92	-0.12	0.97	-0.04	Homo sapiens secretory carrier membrane protein 3 (SCAMP3), transcript variant 2, mRNA.
NM_001823.3	ILMN_10755	CKB	0.39	-1.37	0.91	-0.14	2.04	1.03	1.63	0.70	Homo sapiens creatine kinase, brain (CKB), mRNA.
AW241713	ILMN_107596		1.56	0.64	1.41	0.49	1.02	0.03	1.05	0.06	xn74b05.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2700177 3, mRNA sequence
NM_000895.1	ILMN_10760	LTA4H	2.03	1.02	1.46	0.55	1.05	0.06	1.59	0.67	Homo sapiens leukotriene A4 hydrolase (LTA4H), mRNA.
AV712934	ILMN_107614		1.53	0.62	1.31	0.39	0.97	-0.04	0.94	-0.09	AV712934 DCA Homo sapiens cDNA clone DCABAE05 5, mRNA sequence
NM_032448.1	ILMN_10767	KIAA1838	0.90	-0.15	0.92	-0.11	1.11	0.15	0.94	-0.09	Homo sapiens KIAA1838 (KIAA1838), mRNA.
BM280411	ILMN_107678		1.50	0.59	1.30	0.38	1.08	0.11	1.12	0.16	3EST-NCD15-159 human CD15+ myeloid progenitor cells cDNA Library Homo sapiens cDNA 3', mRNA sequence
NM_022156.3	ILMN_1077	DUS1L	0.84	-0.25	0.83	-0.27	0.68	-0.56	0.81	-0.31	Homo sapiens dihydrouridine synthase 1-like (S. cerevisiae) (DUS1L), mRNA.
NM_025241.1	ILMN_10771	UBXD1	0.58	-0.80	0.57	-0.82	1.07	0.10	0.94	-0.09	Homo sapiens UBX domain containing 1 (UBXD1), mRNA.
NM_000992.2	ILMN_10772	RPL29	2.02	1.01	1.28	0.35	1.01	0.02	1.09	0.12	Homo sapiens ribosomal protein L29 (RPL29), mRNA.
NM_052853.3	ILMN_10783	ADCK2	0.26	-1.94	0.43	-1.23	1.08	0.12	1.33	0.41	Homo sapiens aarF domain containing kinase 2 (ADCK2), mRNA.
BE646244	ILMN_107859		1.93	0.95	1.52	0.61	1.14	0.19	1.16	0.22	7e83f02.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:3289083 3, mRNA sequence
NM_031206.2	ILMN_10798	LAS1L	1.34	0.43	1.23	0.29	0.91	-0.13	0.90	-0.15	Homo sapiens LAS1-like (S. cerevisiae) (LAS1L), mRNA.
AW589737	ILMN_107993		1.49	0.57	1.18	0.24	0.96	-0.05	0.98	-0.03	hg20e08.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2946182 3, mRNA sequence
AI245324	ILMN_108004		1.44	0.52	1.21	0.27	1.00	0.00	1.04	0.06	qk23d12.x1 NCI_CGAP_Kid3 Homo sapiens cDNA clone IMAGE:1869815 3, mRNA sequence
AW276479	ILMN_108014		0.76	-0.39	0.88	-0.18	0.76	-0.39	1.07	0.10	xr14b10.x1 NCI_CGAP_Lu28 Homo sapiens cDNA clone IMAGE:2760091 3, mRNA sequence
NM_015327.1	ILMN_10815	SMG5	1.05	0.07	1.14	0.19	1.07	0.10	0.99	-0.01	Homo sapiens Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) (SMG5), mRNA.
NM_004275.3	ILMN_10817	TRFP	0.93	-0.11	1.06	0.09	0.83	-0.27	0.82	-0.28	Homo sapiens Trf (TATA binding protein-related factor)-proximal homolog (Drosophila) (TRFP), mRNA.
BM151532	ILMN_108261		1.98	0.99	1.30	0.38	1.01	0.01	1.11	0.15	TCBAP1D9648 Pediatric pre-B cell acute lymphoblastic leukemia Baylor-HGSC project=TCBA Homo sapiens cDNA clone TCBAP9648, mRNA sequence
NM_203481.1	ILMN_10828	MGC70870	NaN	NaN	0.65	-0.63	NaN	NaN	NaN	NaN	Homo sapiens hypothetical LOC403340 (MGC70870), mRNA.
AI419812	ILMN_108331		1.92	0.94	1.46	0.54	1.06	0.08	1.09	0.12	tg52a04.x1 Soares_NFL_T_GBC_S1 Homo sapiens cDNA clone IMAGE:2112366 3 similar to contains PTR5.t3 PTR5 repetitive element ;, mRNA sequence
NM_001002814.1	ILMN_10834	RAB11FIP1	1.60	0.68	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens RAB11 family interacting protein 1 (class I) (RAB11FIP1), transcript variant 3, mRNA.
AW474274	ILMN_108384		1.75	0.80	1.53	0.62	0.95	-0.08	1.04	0.06	xs23f01.x1 NCI_CGAP_Ut2 Homo sapiens cDNA clone IMAGE:2770489 3, mRNA sequence
R07429	ILMN_108408		1.70	0.77	1.14	0.18	NaN	NaN	1.02	0.03	ye96b09.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:125561 3, mRNA sequence
NM_001639.2	ILMN_10843	APCS	0.39	-1.35	0.69	-0.54	0.49	-1.04	0.37	-1.45	Homo sapiens amyloid P component, serum (APCS), mRNA.
NM_016735.1	ILMN_10849	LIMK1	NaN	NaN	NaN	NaN	1.88	0.91	1.06	0.09	Homo sapiens LIM domain kinase 1 (LIMK1), transcript variant dLIMK, mRNA.
NM_016006.3	ILMN_10853	ABHD5	0.73	-0.45	1.15	0.21	0.82	-0.29	0.65	-0.62	Homo sapiens abhydrolase domain containing 5 (ABHD5), mRNA.
NR_002436.1	ILMN_10854	ACA33	2.11	1.08	2.05	1.04	0.55	-0.86	0.51	-0.97	Homo sapiens ACA33 small nucleolar RNA (ACA33) on chromosome 6.
NM_001001787.1	ILMN_10855	ATP1B1	0.94	-0.09	0.96	-0.06	1.85	0.88	2.74	1.45	Homo sapiens ATPase, Na+/K+ transporting, beta 1 polypeptide (ATP1B1), transcript variant 2, mRNA.
AI761975	ILMN_108558		1.53	0.62	1.25	0.33	0.96	-0.06	1.03	0.05	wh50e07.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2384196 3, mRNA sequence
NM_001017915.1	ILMN_10862	INPP5D	1.81	0.85	1.31	0.39	0.88	-0.18	0.99	-0.02	Homo sapiens inositol polyphosphate-5-phosphatase, 145kDa (INPP5D), transcript variant 1, mRNA.
NM_002444.2	ILMN_10863	MSN	2.57	1.36	2.20	1.14	2.36	1.24	2.89	1.53	Homo sapiens moesin (MSN), mRNA.
NM_000057.1	ILMN_10872	BLM	1.35	0.43	1.07	0.09	1.05	0.08	0.97	-0.04	Homo sapiens Bloom syndrome (BLM), mRNA.
AA626011	ILMN_108736		NaN	NaN	1.47	0.56	NaN	NaN	NaN	NaN	zu87f09.s1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:745001 3, mRNA sequence
AW292705	ILMN_108753		1.65	0.72	1.46	0.55	1.12	0.16	1.07	0.10	UI-H-BI2-agm-d-07-0-UI.s1 NCI_CGAP_Sub4 Homo sapiens cDNA clone IMAGE:2724900 3, mRNA sequence
BQ012728	ILMN_108755		1.44	0.52	1.24	0.31	1.02	0.03	1.12	0.16	UI-1-BC1p-auz-b-08-0-UI.s1 NCI_CGAP_Pl3 Homo sapiens cDNA clone UI-1-BC1p-auz-b-08-0-UI 3, mRNA sequence
BM984149	ILMN_108805		1.39	0.47	1.37	0.45	1.10	0.14	1.00	0.00	UI-CF-DU1-abf-c-01-0-UI.s1 UI-CF-DU1 Homo sapiens cDNA clone UI-CF-DU1-abf-c-01-0-UI 3, mRNA sequence
AW945561	ILMN_108811		1.98	0.99	1.55	0.63	0.96	-0.05	0.98	-0.03	RC0-EN0024-120500-031-b04 EN0024 Homo sapiens cDNA, mRNA sequence
AW444641	ILMN_108823		1.57	0.65	1.38	0.47	1.11	0.15	1.09	0.13	UI-H-BI3-ajw-c-08-0-UI.s1 NCI_CGAP_Sub5 Homo sapiens cDNA clone IMAGE:2733302 3, mRNA sequence
NM_006009.2	ILMN_1089	TUBA3	1.21	0.28	0.94	-0.09	1.49	0.57	1.35	0.44	Homo sapiens tubulin, alpha 3 (TUBA3), mRNA.
NM_014614.1	ILMN_10890	PSME4	0.90	-0.15	0.86	-0.23	1.08	0.10	1.02	0.03	Homo sapiens proteasome (prosome, macropain) activator subunit 4 (PSME4), mRNA.
NM_017916.1	ILMN_10897	FLJ20643	0.88	-0.18	0.86	-0.22	0.81	-0.30	0.66	-0.59	Homo sapiens hypothetical protein FLJ20643 (FLJ20643), mRNA.
AB074045	ILMN_108970		1.60	0.68	1.36	0.45	1.16	0.22	1.07	0.10	AB074045 Human vestibular cDNA library Homo sapiens cDNA clone 159V5-2464, mRNA sequence
